ds,y
2024-04-11 20:51:53.700374,185
2024-04-11 20:56:03.700374,189
2024-04-11 21:00:13.700374,177
2024-04-11 21:04:23.700374,179
2024-04-11 21:08:33.700374,153
2024-04-11 21:12:43.700374,176
2024-04-11 21:16:53.700374,178
2024-04-11 21:21:03.700374,174
2024-04-11 21:25:13.700374,195
2024-04-11 21:29:23.700374,189
2024-04-11 21:33:33.700374,191
2024-04-11 21:37:43.700374,174
2024-04-11 21:41:53.700374,156
2024-04-11 21:46:03.700374,170
2024-04-11 21:50:13.700374,186
2024-04-11 21:54:23.700374,169
2024-04-11 21:58:33.700374,186
2024-04-11 22:02:43.700374,161
2024-04-11 22:06:53.700374,186
2024-04-11 22:11:03.700374,170
2024-04-11 22:15:13.700374,182
2024-04-11 22:19:23.700374,195
2024-04-11 22:23:33.700374,221
2024-04-11 22:27:43.700374,179
2024-04-11 22:31:53.700374,188
2024-04-11 22:36:03.700374,199
2024-04-11 22:40:13.700374,182
2024-04-11 22:44:23.700374,188
2024-04-11 22:48:33.700374,190
2024-04-11 22:52:43.700374,193
2024-04-11 22:56:53.700374,174
2024-04-11 23:01:03.700374,152
2024-04-11 23:05:13.700374,157
2024-04-11 23:09:23.700374,166
2024-04-11 23:13:33.700374,192
2024-04-11 23:17:43.700374,184
2024-04-11 23:21:53.700374,154
2024-04-11 23:26:03.700374,149
2024-04-11 23:30:13.700374,178
2024-04-11 23:34:23.700374,221
2024-04-11 23:38:33.700374,218
2024-04-11 23:42:43.700374,198
2024-04-11 23:46:53.700374,209
2024-04-11 23:51:03.700374,220
2024-04-11 23:55:13.700374,203
2024-04-11 23:59:23.700374,227
2024-04-12 00:03:33.700374,190
2024-04-12 00:07:43.700374,214
2024-04-12 00:11:53.700374,200
2024-04-12 00:16:03.700374,216
2024-04-12 00:20:13.700374,188
2024-04-12 00:24:23.700374,151
2024-04-12 00:28:33.700374,177
2024-04-12 00:32:43.700374,170
2024-04-12 00:36:53.700374,181
2024-04-12 00:41:03.700374,192
2024-04-12 00:45:13.700374,184
2024-04-12 00:49:23.700374,192
2024-04-12 00:53:33.700374,186
2024-04-12 00:57:43.700374,187
2024-04-12 01:01:53.700374,183
2024-04-12 01:06:03.700374,205
2024-04-12 01:10:13.700374,205
2024-04-12 01:14:23.700374,195
2024-04-12 01:18:33.700374,205
2024-04-12 01:22:43.700374,190
2024-04-12 01:26:53.700374,202
2024-04-12 01:31:03.700374,203
2024-04-12 01:35:13.700374,201
2024-04-12 01:39:23.700374,202
2024-04-12 01:43:33.700374,214
2024-04-12 01:47:43.700374,212
2024-04-12 01:51:53.700374,217
2024-04-12 01:56:03.700374,203
2024-04-12 02:00:13.700374,224
2024-04-12 02:04:23.700374,190
2024-04-12 02:08:33.700374,202
2024-04-12 02:12:43.700374,186
2024-04-12 02:16:53.700374,186
2024-04-12 02:21:03.700374,180
2024-04-12 02:25:13.700374,186
2024-04-12 02:29:23.700374,186
2024-04-12 02:33:33.700374,178
2024-04-12 02:37:43.700374,193
2024-04-12 02:41:53.700374,179
2024-04-12 02:46:03.700374,183
2024-04-12 02:50:13.700374,197
2024-04-12 02:54:23.700374,187
2024-04-12 02:58:33.700374,202
2024-04-12 03:02:43.700374,187
2024-04-12 03:06:53.700374,190
2024-04-12 03:11:03.700374,199
2024-04-12 03:15:13.700374,210
2024-04-12 03:19:23.700374,178
2024-04-12 03:23:33.700374,187
2024-04-12 03:27:43.700374,173
2024-04-12 03:31:53.700374,194
2024-04-12 03:36:03.700374,204
2024-04-12 03:40:13.700374,196
2024-04-12 03:44:23.700374,177
2024-04-12 03:48:33.700374,174
2024-04-12 03:52:43.700374,190
2024-04-12 03:56:53.700374,167
2024-04-12 04:01:03.700374,154
2024-04-12 04:05:13.700374,177
2024-04-12 04:09:23.700374,186
2024-04-12 04:13:33.700374,168
2024-04-12 04:17:43.700374,231
2024-04-12 04:21:53.700374,174
2024-04-12 04:26:03.700374,197
2024-04-12 04:30:13.700374,163
2024-04-12 04:34:23.700374,177
2024-04-12 04:38:33.700374,172
2024-04-12 04:42:43.700374,184
2024-04-12 04:46:53.700374,171
2024-04-12 04:51:03.700374,183
2024-04-12 04:55:13.700374,171
2024-04-12 04:59:23.700374,177
2024-04-12 05:03:33.700374,190
2024-04-12 05:07:43.700374,190
2024-04-12 05:11:53.700374,196
2024-04-12 05:16:03.700374,191
2024-04-12 05:20:13.700374,193
2024-04-12 05:24:23.700374,189
2024-04-12 05:28:33.700374,213
2024-04-12 05:32:43.700374,166
2024-04-12 05:36:53.700374,200
2024-04-12 05:41:03.700374,211
2024-04-12 05:45:13.700374,167
2024-04-12 05:49:23.700374,191
2024-04-12 05:53:33.700374,187
2024-04-12 05:57:43.700374,189
2024-04-12 06:01:53.700374,211
2024-04-12 06:06:03.700374,193
2024-04-12 06:10:13.700374,213
2024-04-12 06:14:23.700374,172
2024-04-12 06:18:33.700374,199
2024-04-12 06:22:43.700374,178
2024-04-12 06:26:53.700374,189
2024-04-12 06:31:03.700374,183
2024-04-12 06:35:13.700374,176
2024-04-12 06:39:23.700374,181
2024-04-12 06:43:33.700374,196
2024-04-12 06:47:43.700374,164
2024-04-12 06:51:53.700374,170
2024-04-12 06:56:03.700374,175
2024-04-12 07:00:13.700374,172
2024-04-12 07:04:23.700374,177
2024-04-12 07:08:33.700374,172
2024-04-12 07:12:43.700374,179
2024-04-12 07:16:53.700374,172
2024-04-12 07:21:03.700374,179
2024-04-12 07:25:13.700374,177
2024-04-12 07:29:23.700374,168
2024-04-12 07:33:33.700374,193
2024-04-12 07:37:43.700374,171
2024-04-12 07:41:53.700374,181
2024-04-12 07:46:03.700374,163
2024-04-12 07:50:13.700374,150
2024-04-12 07:54:23.700374,183
2024-04-12 07:58:33.700374,187
2024-04-12 08:02:43.700374,171
2024-04-12 08:06:53.700374,177
2024-04-12 08:11:03.700374,171
2024-04-12 08:15:13.700374,193
2024-04-12 08:19:23.700374,174
2024-04-12 08:23:33.700374,183
2024-04-12 08:27:43.700374,183
2024-04-12 08:31:53.700374,194
2024-04-12 08:36:03.700374,215
2024-04-12 08:40:13.700374,191
2024-04-12 08:44:23.700374,189
2024-04-12 08:48:33.700374,177
2024-04-12 08:52:43.700374,181
2024-04-12 08:56:53.700374,185
2024-04-12 09:01:03.700374,201
2024-04-12 09:05:13.700374,180
2024-04-12 09:09:23.700374,177
2024-04-12 09:13:33.700374,167
2024-04-12 09:17:43.700374,203
2024-04-12 09:21:53.700374,181
2024-04-12 09:26:03.700374,189
2024-04-12 09:30:13.700374,179
2024-04-12 09:34:23.700374,189
2024-04-12 09:38:33.700374,179
2024-04-12 09:42:43.700374,177
2024-04-12 09:46:53.700374,197
2024-04-12 09:51:03.700374,152
2024-04-12 09:55:13.700374,168
2024-04-12 09:59:23.700374,197
2024-04-12 10:03:33.700374,182
2024-04-12 10:07:43.700374,153
2024-04-12 10:11:53.700374,163
2024-04-12 10:16:03.700374,181
2024-04-12 10:20:13.700374,169
2024-04-12 10:24:23.700374,175
2024-04-12 10:28:33.700374,181
2024-04-12 10:32:43.700374,162
2024-04-12 10:36:53.700374,178
2024-04-12 10:41:03.700374,180
2024-04-12 10:45:13.700374,177
2024-04-12 10:49:23.700374,165
2024-04-12 10:53:33.700374,182
2024-04-12 10:57:43.700374,181
2024-04-12 11:01:53.700374,226
2024-04-12 11:06:03.700374,174
2024-04-12 11:10:13.700374,180
2024-04-12 11:14:23.700374,182
2024-04-12 11:18:33.700374,187
2024-04-12 11:22:43.700374,190
2024-04-12 11:26:53.700374,189
2024-04-12 11:31:03.700374,189
2024-04-12 11:35:13.700374,175
2024-04-12 11:39:23.700374,191
2024-04-12 11:43:33.700374,188
2024-04-12 11:47:43.700374,194
2024-04-12 11:51:53.700374,197
2024-04-12 11:56:03.700374,205
2024-04-12 12:00:13.700374,201
2024-04-12 12:04:23.700374,192
2024-04-12 12:08:33.700374,205
2024-04-12 12:12:43.700374,199
2024-04-12 12:16:53.700374,196
2024-04-12 12:21:03.700374,211
